,mz,rt,rt_start,rt_end,B1_NIST1950_1_6540.mzML,B1_NIST1950_2_6540.mzML,B1_NIST1950_3_6540.mzML,classification
FT1271,230.094905570934,1.0726759656268683,1.044518597920735,1.100833333333,33537.8133334612,3103.82324830828,2594.34782437736,1.0
FT2735,405.107268465704,5.323503112792967,5.323503112792967,5.323503112792967,878.531645516213,866.245274815336,1509.46198917389,0.0
FT1989,295.189564280838,1.0094007924396116,0.99815985361735,1.0751848856608066,9120.62633461822,21505.0581038379,21614.1737834311,1.0
FT3959,823.304345032169,0.9179674148559567,0.917966666667,0.99815985361735,41417.1182860962,37800.9331236859,39528.3763339233,1.0
FT0647,165.091851509832,0.9179670407614784,0.917966666667,0.9179674148559567,159976.365113157,135058.152546509,148929.252446236,1.0
FT1352,239.022409943247,6.03839009602865,6.03839009602865,6.03839009602865,2331.76738544526,2682.47122308817,5624.83688777299,0.0
FT3054,466.252937121252,0.9678333333329999,0.8879364013671867,0.9678511937459316,43818.1264367403,8195.86937258613,7703.34923191106,0.0
FT0013,60.0168266961095,2.04788665771485,2.015166666667,2.048416900634767,7810.57699704702,4512.7675270476,8819.19456680689,1.0
FT2575,373.867426700689,13.103516666667,13.05364990234375,13.103533935546867,6843.74759620597,9371.69711745345,10570.3787383382,0.0
FT1215,225.062030902847,6.0382334391276,6.038233333332999,6.055021158854166,935531.678886525,869882.89577518,885908.830246859,1.0
FT1357,240.061032694031,0.9179670407614784,0.917966666667,0.9179674148559567,56313.485628337,49809.0767479016,49392.3161229372,1.0
FT2437,355.169634133059,0.967842263539465,0.9678333333329999,0.9678511937459316,8695.50571681361,9892.38742123509,10603.8242678833,1.0
FT2233,328.047563141096,0.6686,0.66859753926595,0.7409428914388017,55304.638168985,39566.9478543178,53060.2145820587,0.0
FT0754,176.959625853367,5.0574,4.990900675455733,5.074017333984367,3536.44549388141,2050.95071502686,855.072034950258,1.0
FT0406,134.060794077922,1.3169499999999998,1.30033582051595,1.3604971567789717,51856.9370255777,37079.0017111624,42855.6940421685,1.0
FT0251,112.985745072116,13.095216967773434,13.086900000000002,13.103533935546867,487202.346624298,475499.903587811,465057.450621368,1.0
FT2399,350.866193160192,5.2236343383789,5.2236343383789,5.2236343383789,26063.6536125436,7148.28206215789,3464.21232868003,1.0
FT1203,223.871858467682,2.4457529703775998,2.4457529703775998,2.4457529703775998,4065.92765988215,2646.39886617436,2725.80427164149,0.0
FT1280,230.997514115134,0.8681002298990883,0.818216666667,0.884716666667,66279.8481177056,81240.1755026495,84823.6094725782,1.0
FT1374,242.052202613569,6.0714833577473994,6.071483333333,6.088248697916667,326683.800826673,312854.166357199,306314.671067117,1.0
