"Row.names"	"mzmed"	"mzmin"	"mzmax"	"rtmed"	"rtmin"	"rtmax"	"npeaks"	"X1"	"ms_level"	"B1_NIST1950_1_6540.mzML"	"B1_NIST1950_2_6540.mzML"	"B1_NIST1950_3_6540.mzML"
"FT0001"	52.9952735694077	52.9798077928136	53.0110049639743	304.44100000002	303.441101074219	305.439025878906	6	3	1	7850.11653946789	6526.80036972066	289145.820379745
"FT0002"	54.9770124550965	54.9770005426736	54.9770256566858	304.44100000002	304.439758300781	304.441040039062	3	3	1	153221.001212418	121049.319269095	121518.648673539
"FT0003"	55.018832432142	55.018832432142	55.018832432142	362.29399999998	362.29399999998	362.29399999998	1	1	1	6447.71983965346	9208.60197012829	7405.62155905403
"FT0004"	56.9959000846868	56.9958799381595	56.9959127107922	785.214	784.216979980469	786.212036132812	3	3	1	6127501.96761291	5300638.78848081	5151324.42897939
"FT0005"	57.034581244239	57.0344937660357	57.0346687224424	95.4594821472268	93.97900000002	96.9399642944336	2	2	1	36275.2220288056	25455.2165850539	30882.4761831439
"FT0006"	57.0288780481929	57.0288780481929	57.0288780481929	768.25699999998	768.25699999998	768.25699999998	1	1	1	2734.23169362438	4496.17075094485	3027.92428890068
"FT0007"	57.9756297182526	57.9753597514808	57.9758781393827	88.9921417236328	88.99099999998	90.5885543823242	3	3	1	9571.49794715881	8073.27737628937	9433.29519539232
"FT0008"	58.0002184566695	58.0002184566695	58.0002184566695	784.216979980469	784.216979980469	784.216979980469	1	1	1	4802.99296825608	4762.5690115004	1667.04755086216
"FT0009"	59.0138573720679	59.0138023848235	59.0484133611493	122.889099731455	121.90803527832	123.90199999998	4	3	1	342343.167684686	299472.668356656	310234.531631016
"FT0010"	59.0249641205099	59.0249270126829	59.0249824132935	198.613235473633	197.71399999998	198.700958251953	3	3	1	58947.2482914722	51937.5100361355	55535.4705143198
"FT0011"	59.014159581427	59.0141442285062	59.0141886366834	362.294006347656	362.29399999998	363.30126953125	3	3	1	807897.774455622	795229.500042383	794061.628995169
"FT0012"	58.9999737385086	58.9998689310258	59.0000126854699	785.214	784.216979980469	786.212036132812	3	3	1	25150.2055234781	19543.8452925008	13413.7412705101
"FT0013"	60.0168266961095	60.0167966150942	60.0169020800887	122.873199462891	120.91000000002	122.905014038086	3	3	1	7810.57699704702	4512.7675270476	8819.19456680689
"FT0014"	59.985289776117	59.9852172113641	59.985313254359	786.21100000002	784.216979980469	786.212036132812	3	3	1	22952.9388066474	21567.2374958337	24824.2813603592
"FT0015"	60.0170942197214	60.0168634925936	60.0173249468493	360.797494995107	360.29899999998	361.295989990234	2	2	1	24639.6776201779	26203.9467803779	22385.9618224445
"FT0016"	60.9930248129481	60.9930201652334	60.9930729581859	198.711	198.700958251953	199.612487792969	3	3	1	184525.848984966	112405.294543149	146220.001842799
"FT0017"	60.9930284737129	60.9930269489558	60.9930728085198	812.145	811.14794921875	813.143005371094	3	3	1	566281.877707894	440474.186728626	426578.237479086
"FT0018"	60.9930287123787	60.993025795747	60.9930460523344	785.214	783.218994140625	786.212036132812	3	3	1	577261.486203989	472911.687165059	491629.179248923
"FT0019"	60.9930192777573	60.993018807275	60.993056165451	118.900115966797	115.92199999998	118.915023803711	3	3	1	564580.816452222	224451.948942277	284998.711127538
"FT0020"	60.9930862029904	60.9930784700929	60.9931044157092	372.276580810547	372.26800000002	376.257995605469	3	3	1	233745.758482481	308057.68888975	2608579.41814161
